date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:03	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Apr%202020%2014:40:04%20GMT	https://demos.creative-tim.com/robots.txt		(from )
21:40:03	233591/233591	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jul%202019%2009:44:20%20GMT	https://demos.creative-tim.com/blk-design-system-pro/	C:/My%20Web%20Sites/template_end/demos.creative-tim.com/blk-design-system-pro/index.html	(from )
21:40:04	2446/2446	---M--	200	added ('OK')	image/png	etag:%225d231074-98e%22	https://demos.creative-tim.com/blk-design-system-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/template_end/demos.creative-tim.com/blk-design-system-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:04	2761/2761	---M--	200	added ('OK')	image/png	etag:%225d231074-ac9%22	https://demos.creative-tim.com/blk-design-system-pro/assets/img/favicon.png	C:/My%20Web%20Sites/template_end/demos.creative-tim.com/blk-design-system-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:16	86210/86210	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Apr%202020%2014:40:17%20GMT	https://raw.githubusercontent.com/creativetimofficial/public-assets/master/blk-design-system-pro/opt_blkp_thumbnail.jpg	C:/My%20Web%20Sites/template_end/raw.githubusercontent.com/creativetimofficial/public-assets/master/blk-design-system-pro/opt_blkp_thumbnail.jpg	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:17	34734/34734	---MCZ	200	added ('OK')	text/css	etag:W/%2242eaa52604673b64d6b356c2fd7f87e3%22	https://use.fontawesome.com/releases/v5.0.6/css/all.css	C:/My%20Web%20Sites/template_end/use.fontawesome.com/releases/v5.0.6/css/all.css	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:17	7737/7737	---M-Z	200	added ('OK')	text/css	etag:W/%225d231074-1e39%22	https://demos.creative-tim.com/blk-design-system-pro/assets/css/nucleo-icons.css	C:/My%20Web%20Sites/template_end/demos.creative-tim.com/blk-design-system-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:18	434372/434372	---M-Z	200	added ('OK')	text/css	etag:W/%225d231074-6a0c4%22	https://demos.creative-tim.com/blk-design-system-pro/assets/css/blk-design-system-pro.min.css?v=1.0.0	C:/My%20Web%20Sites/template_end/demos.creative-tim.com/blk-design-system-pro/assets/css/blk-design-system-pro.mine209.css	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:18	30088/30088	---M-Z	200	added ('OK')	text/css	etag:W/%225d231074-7588%22	https://demos.creative-tim.com/blk-design-system-pro/assets/demo/demo.css	C:/My%20Web%20Sites/template_end/demos.creative-tim.com/blk-design-system-pro/assets/demo/demo.css	(from https://demos.creative-tim.com/blk-design-system-pro/)
21:40:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2009%20Apr%202020%2014:40:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/template_end/www.googletagmanager.com/gtm.75445.delayed	(from https://demos.creative-tim.com/blk-design-system-pro/)
